Component Name#info,System,URL#info,Component Description#info,Source,Component Type,Function,Maturity/status,Domain Community,Steward Organization,References-Text#info,Protocols,InterchangeFormats ,InputFileFormat,Input parameters,Output file format,InformationModels,Implementation,TimeToLive#info,#name,#img,
Coastal Data Information Program (CDIP) Term Vocabulary,,http://cdip.ucsd.edu/?sub=faq&nav=documents&xitem=glossary,"Glossary of terms related to coastal science.
The following definitions are based on entries from the USACE's comprehensive Glossary of Coastal Terminology (Source: CDIP)",,vocabulary,information exchange,Published Standard,Ocean Science,Coastal Data Information Program,,,,,,,,,,Coastal Data Information Program (CDIP) Term Vocabulary,vocabulary.jpg,vocabulary
Coastal Erosion Topics,,http://mmisw.org/orr/#http://www.coastalatlas.net/ont/coastal_erosion.owl,"Top ontology for coastal erosion related topics. Replaces http://marinemetadata.org/mmiws/ont/20070912/coastal_erosion.owl
",,vocabulary,information exchange,Community-Established,Ocean Science,International Coastal Atlas Network,,,,,,,,,,Coastal Erosion Topics,vocabulary.jpg,vocabulary
Coastal Marine Ecological Classification Standard: A Habitat Classification Framework,,http://mmisw.org/orr/#http://mmisw.org/ont/noaa/cmecs,"The classification is a framework for organizing knowledge about coasts and oceans and their living systems. It provides a structure for synthesizing data so that habitats can be characterized and reported in a standard way, and information can be aggregated and evaluated across the national landscape and seascape. Building on existing classification efforts and informed by a series of technical meetings and workshops, the CMECS framework integrates the current state of knowledge about ecological and habitat classification. The result is an ecosystem-oriented, science-based framework for the identification, inventory, and description of coastal and marine habitats and biodiversity.
",,specification,information exchange,Published Standard,Ocean Science,NOAA,,,,,,,,,,Coastal Marine Ecological Classification Standard: A Habitat Classification Framework,globe.jpg,specification
COGS Vocabulary,,http://vocab.deri.ie/cogs,COGS: Vocabulary for describing ETL and data transformation activities.,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,COGS Vocabulary,vocabulary.jpg,vocabulary
Comfort and Energy Rule,,http://vocab.deri.ie/cer,(enhance)Comfort and Energy Rule,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,rdf,,,,,,,Comfort and Energy Rule,vocabulary.jpg,vocabulary
Common Data Model (CDM),Unidata,,"Unidata’s Common Data Model (CDM) is an abstract, object-oriented data model for scientific datasets. It merges the netCDF, OPeNDAP, and HDF5 data models to create a common API for many types of scientific data. The NetCDF Java library is an implementation of the CDM which can read file formats that can be accessed through the CDM data model.  The model defines a collection of objects with attributes and operations for representing and operating on datasets. The operations define an API for accessing data.
The Common Data Model has three layers, which build on top of each other to add successively richer semantics:
---The data access layer, also know as the syntactic layer, handles data reading and writing. Objects include Dataset, Group, Dimension, Attribute, Variable, Structure, Sequence, Array, ArrayStructure, StructureData, Datatype, EnumTypedef; 
---The coordinate system layer identifies the coordinates of the data arrays. Coordinates are a completely general concept for scientific data; the model includes specialized georeferencing coordinate systems. Objects include Variable, CoordinateSystem, CoordinateTransformation, ProjectionCT, VerticalCT, CoordinateAxis, and AxisType.
---The scientific feature type layer identifies specific types of data, such as grids, radial, and point data, adding specialized methods for each kind of data.",cicomponentREview,information model,data access,operational,,,,CDM API,,,,,,,,Common Data Model (CDM),infomrationModel.jpg,information model
Comms Controller,Ocean observatory initiative (OOI),,,cicomponentREview,component,hardware controller,conceptual,,,,,,,,,,planned?,,Comms Controller,globe.jpg,component
community catalog,GEOSS,OGC AIP-7 Architecture report,Collection of community-organized information descriptions (metadata) exposed through standard catalog service interfaces,cicomponentREview,catalog,discovery,conceputal,,GEOSS,,"CSW, ISO 23950",,,,,,,,community catalog,icon_catalog.jpg,catalog
Community Research and Development Information Service (CORDIS),,http://vocab.deri.ie/cordis,,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Community Research and Development Information Service (CORDIS),vocabulary.jpg,vocabulary
Community Resource Viewer,CINERGI,connections.earthcube.org,"front-end application for domain-specific resource catalog, to support browsing, faceted search, inventory curation and updates ",cicomponentREview,component,discovery,operational,,CINERGI,,HTTP,"JSON, oData",,,,"domain-specific, subset of ISO19115","PivotViewer custom client, ASP.NET, HTML5/OpenLink",,Community Resource Viewer,globe.jpg,component
Commute Vocabulary,,http://vocab.deri.ie/commute,,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,Commute Vocabulary,vocabulary.jpg,vocabulary
Compellent Storage Area Network,,http://www.compellent.com,,cicomponentREview,cloud platform,data storage,operational,,Compellent,,,,,,,,,,Compellent Storage Area Network,dataservice.jpg,cloud platform
Components Register,GEOSS,,list of components registered into GEOSS,cicomponentREview,register,discovery,operational,,GEOSS,"OGC AIP-7 Architecture report, figure 4",,,,,,,,,Components Register,globe.jpg,register
Components required to exchange and disseminate observational data and information,GEOSS,OGC AIP-7 Architecture report,"Top level abstract component. data management, access to data, and archiving of data and other resources.",cicomponentREview,component,data management,conceptual,,GEOSS,,,,,,,,,,Components required to exchange and disseminate observational data and information,globe.jpg,component
Components to acquire observations,GEOSS,OGC AIP-7 Architecture report,"Top level abstract component.  local, national, regional and global systems to be augmented as required by new observing systems",cicomponentREview,component,data acquisition,conceptual,,GEOSS,,,,,,,,,,Components to acquire observations,globe.jpg,component
Components to process data into useful information,GEOSS,OGC AIP-7 Architecture report,"Top level abstract component.  Implement modeling, integration and assimilation techniques as input to the decision support systems required in response to societal needs",cicomponentREview,component,data processing,conceptual,,GEOSS,,,,,,,,,,Components to process data into useful information,globe.jpg,component
COMPS Currents and Waves Process Chain,,http://mmisw.org/orr/#http://mmisw.org/ont/comps/COMPSPC,Description of COMPS Currents and Waves process chain,hli,vocabulary,information exchange,Published Standard,Ocean Science,Coastal Ocean monitoring and Prediction System,,,,,,,,,,COMPS Currents and Waves Process Chain,vocabulary.jpg,vocabulary
COMPS Currents and Waves Properties,,http://mmisw.org/orr/#http://mmisw.org/ont/COMPS/properties,Describes the COMPS Waves and Currents properties,hli,vocabulary,information exchange,Published Standard,Ocean Science,Coastal Ocean monitoring and Prediction System,,,,,,,,,,COMPS Currents and Waves Properties,vocabulary.jpg,vocabulary
COMPS Quality Flags Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/comps/flag,QC Flags Description,hli,vocabulary,information exchange,Published Standard,Ocean Science,Coastal Ocean monitoring and Prediction System,,,,,,,,,,COMPS Quality Flags Vocabulary,vocabulary.jpg,vocabulary
Continental Stratigraphy,Macrostrat,,"polygons with vertical sequence  of layers; Dataset of polygons tessellating North America, with associated time-stratigraphy description.",cicomponentREview,dataset,information source,operational,,Shanan Peters,,,,,,,,,,Continental Stratigraphy,package-x-generic.png,dataset
Convention on Biological Diversity (CBD) Controlled Vocabulary,,http://www.cbd.int/doc/lists/cbd-voc.pdf,The Convention on Biological Diversity Controlled Vocabulary in pdf format,,vocabulary,information exchange,None,BiologicalSpeciesEcology,"Convention on Biological Diversity (CBD) (UN, UNEP)",,,,,,,,,,Convention on Biological Diversity (CBD) Controlled Vocabulary,vocabulary.jpg,vocabulary
Coordinated Enhanced Observing Period (CEOP),International Directory Network (IDN),http://gcmd.gsfc.nasa.gov/KeywordSearch/Home.do?Portal=ceop,Portal for Global Change Master Directory,cicomponentREview,catalog,discovery,operational,,NASA CEOS,,,,,,,,,,Coordinated Enhanced Observing Period (CEOP),icon_catalog.jpg,catalog
CORE Link Format,,http://vocab.deri.ie/corelf,QC Flags Description,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,CORE Link Format,vocabulary.jpg,vocabulary
CoreSIG Modules,,https://joinup.ec.europa.eu/software/coresig/home,Bundle of gvSIG Desktop extensions for the management of corporative databases,hli,software library,JU,Unknown,Data Systems,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,CoreSIG Modules,software.png,software library
COSMOS Virtual Data Center,,http://www.strongmotioncenter.org/vdc/,,,catalog,,AdHoc,Seismology,COSMOS,,,,,,,,,,COSMOS Virtual Data Center,icon_catalog.jpg,catalog
COSMOS Virtual Data Center Stations Google Earth File,,http://www.strongmotioncenter.org/vdc/scripts/googleEarthKML.plx,"Google Earth file that will show the geographic location of events and stations known by the VDC. Will load all of the stations and events on the VDC into GoogleEarth. GoogleEarth will display red circles for events and yellow circles for stations. If you click on one of the circles, it will display the name, date, magnitude and no. of stations available for that earthquake; or name, code, and station owner for that station, respectively. Clicking on the name will take you to the VDC page for that earthquake or station.",hli,dataset,,Not Evaluated,Seismology,COSMOS,,,,,,,,,,COSMOS Virtual Data Center Stations Google Earth File,package-x-generic.png,dataset
CouchBase,Ocean Observatory Initiative (OOI),,"Spin off from CouchDB, integrating memcached, bundled as an enterprise level database technology",cicomponentREview,database,data management,operational,,,,,,,,,,,,CouchBase,database.jpg,database
CouchDB/BigCouch,Ocean Observatory Initiative (OOI),,Apache CouchDB is a document-oriented database that can be queried and indexed in a MapReduce fashion using JavaScript. CouchDB also offers incremental replication with bi-directional conflict detection and resolution.,cicomponentREview,database,data management,operational,,,,,,,,,,,,CouchDB/BigCouch,database.jpg,database
Country Vocabulary,,http://www.rvdata.us/voc/country,R2R IDs and names of many countries.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Country Vocabulary,vocabulary.jpg,vocabulary
Credentials Ontology,,http://vocab.deri.ie/co,The Credentials Vocabulary (CO) is a light weight vocabulary for Semantic OAuth to describe three types of credentials: 1) temporary or request token credentials; 2) client credentials; and 3) access token credentials.,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Credentials Ontology,vocabulary.jpg,vocabulary
Cruise Summary Reports,,http://www.seadatanet.org/Metadata/CSR,"Web site for searching and accessing Cruise Summary Reports (CSR = former ROSCOPs), the usual means for reporting on cruises or field experiments at sea. Traditionally, it is the Chief Scientist's obligation to submit a CSR to his/her National Oceanographic Data Centre (NODC) not later than two weeks after the cruise. This provides a first level inventory of measurements and samples collected at sea. Currently, the Cruise Summary Reports directory covers cruises from 1873 till today from more than 2.000 research vessels: a total of nearly 53.000 cruises, in all European waters and global oceans. This also includes historic CSRs from European countries, that have been loaded from the ICES database from 1960 onwards.",hli,web site,data access,Conceptual,Ocean Science,Digital Curation Centre,,,,,,,,,,Cruise Summary Reports,globe.jpg,web site
Cruise Type Vocabulary,,http://www.rvdata.us/voc/cruisetype,Terms to describe type of excursions that vessels can be out on.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Cruise Type Vocabulary,vocabulary.jpg,vocabulary
Cruise Vocabulary,,http://www.rvdata.us/voc/cruise,Vocabulary for the cruises that R2R vessels make.,,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Cruise Vocabulary,vocabulary.jpg,vocabulary
CSDGM Extensions for Remote Sensing Metadata,,http://www.fgdc.gov/standards/projects/FGDC-standards-projects/csdgm_rs_ex/MetadataRemoteSensingExtens.pdf,"The purpose of these Extensions for Remote Sensing Metadata (hereafter Remote Sensing Extensions) is to provide a common terminology and set of definitions for documenting geospatial data obtained by remote sensing, within the framework of the FGDC (1998) Content Standard for Digital Geospatial Metadata (hereafter FGDC Metadata Content Standard or simply base standard). Creating these Remote Sensing Extensions will provide a means to use standard FGDC content to describe geospatial data derived from remote sensing measurements.",hli,specification,DCC,Conceptual,Remote sensing,Digital Curation Centre,,,,,,,,,,CSDGM Extensions for Remote Sensing Metadata,globe.jpg,specification
CSP - A vocabulary to represent Constraint Satisfaction Problems.,,http://vocab.deri.ie/csp,A vocabulary to represent Constraint Satisfaction Problems (CSPs) in which constraints are expressed by Boolean expressions on fluents.,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,CSP - A vocabulary to represent Constraint Satisfaction Problems.,vocabulary.jpg,vocabulary
"CUAHSI GeoWS services
",SDSC-CUAHSI,http://ecrest.azurewebsites.net/,Access to hydrologic metadata and data from multiple sources in CUAHSI HIS,IlyaZaslavsky,Service Architechure,data access,Beta ,Hydrology,CUAHSI,,EarthCube GeoWS REST,"CSV, XML",,,"CSV, XML, JSON","ODM/ODM2, WaterML",,,"CUAHSI GeoWS services
",globe.jpg,Service Architechure
CUAHSI HIS Central - Website,,http://hiscentral.cuahsi.org/,CUAHSI HIS Central catalogs WaterOneFlow services at the Data Series granularity. It provides SOAP services to access this central catalog.,,web site,data access,AdHoc,Hydrology,CUAHSI,,,,,,,,,,CUAHSI HIS Central - Website,globe.jpg,web site
CUAHSI Vocabularies,,http://hiscentral.cuahsi.org/startree.aspx,java web app that provides browsing of vocabs (couldn't get it to work on Chrome),,catalog,,None,Hydrology,CUAHSI,,,,,,,,,,CUAHSI Vocabularies,icon_catalog.jpg,catalog
CUAHSI WaterML 1.0,,http://river.sdsc.edu/Wiki/WaterML.ashx,,hli,interchange format,,Community-Defacto,Hydrology,CUAHSI,,,,,,,,,,CUAHSI WaterML 1.0,globe.jpg,interchange format
CZO Central,,http://central.criticalzone.org/,"This website is for use by CZO data managers.  It supports the sharing of point time series data collected and published by CZO sites. The CZO version of the data publication model includes the following steps:
--CZO data manager places CZO display files on a web server.
--For each CZO site, the Central repository application regularly reads the configuration display file and harvests the newly uploaded display files into a CZO database on the central server.
---Water data web services for each CZO site are updated with the new data, and become available to client applications.
--Optionally, CZO data managers login to CZO Central and associate the newly uploaded variable names with a Hydrologic ----Concept Ontology or edit other web service characteristics.
--Datasets are subsequently registered at the CZO portal site.",cicomponentREview,web site,data access,,,,,,,,,,,,,CZO Central,globe.jpg,web site
D2RQ,,http://d2rq.org,"java servlet on Postgres, deploys triple store (doesn't scale to millions)",cicomponentREview,component,,,,,,,,,,,,java,,D2RQ,globe.jpg,component
Darwin Core,,http://www.tdwg.org/standards/450/,"The Darwin Core is body of standards. It includes a glossary of terms (in other contexts these might be called properties, elements, fields, columns, attributes, or concepts) intended to facilitate the sharing of information about biological diversity by providing reference definitions, examples, and commentaries. The Darwin Core is primarily based on taxa, their occurrence in nature as documented by observations, specimens, and samples, and related information. Included are documents describing how these terms are managed, how the set of terms can be extended for new purposes, and how the terms can be used. keywords: biodiversity",hli,specification,,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Darwin Core,globe.jpg,specification
Darwin Core Geospatial Extension,,http://rs.tdwg.org/dwc/tdwg_dw_geospatial.xsd | http://wiki.tdwg.org/twiki/bin/view/DarwinCore/GeospatialExtension,"Geospatial extension for Darwin Core Metadata.
A protocol-independent XML schema for a geospatial extension to the Darwin Core.",hli,specification,,Conceptual,Various,Biodiversity Information Standards (TDWG),,,,,,,,,,Darwin Core Geospatial Extension,globe.jpg,specification
Darwin Core Terms: A quick reference guide,,http://rs.tdwg.org/dwc/terms/,"This document is a quick reference for all recommended Darwin Core terms. For complete historical term information, including version changes and pre-standard terms, see [HISTORY]. For a comparative table of elements from pre-standard versions of Darwin Core to the current terms in the standard, see [VERSIONS].",,vocabulary,information exchange,Published Standard,BiologicalSpeciesEcology,Biodiversity Information Standards (TDWG),,,,,,,,,,Darwin Core Terms: A quick reference guide,vocabulary.jpg,vocabulary
Data catalog,Ocean observatory initiative (OOI),,not clear if this is in the current (post 2014) architecture,cicomponentREview,catalog,discovery,,,,,,,,,,,planned?,,Data catalog,icon_catalog.jpg,catalog
Data Catalog Vocabulary (dcat),,http://vocab.deri.ie/dcat,"This document defines an RDF vocabulary for the exchange of data catalogs. Its primary purpose is the expression of government data catalogs, such as data.gov or data.gov.uk, in RDF. It is being produced by the W3C eGovernment Interest Group. This is an early draft. We welcome feedback and discussion.",,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Data Catalog Vocabulary (dcat),vocabulary.jpg,vocabulary
Data Cataloger,Ocean observatory initiative (OOI),,not clear if this is in the current (post 2014) architecture,cicomponentREview,component,metadata acquisition,,,,,,,,,,,planned?,,Data Cataloger,globe.jpg,component
Data Management Middleware,iPlant,"Goff et al., 2011, The iPlant collaborative:cyberinfrastructure for plant biology: Frontiers in Plant Scinece, www.frontiersin.org, Volume 2, Article 34, doi: 10.3389/fpls.2011.00034.","facilities for data federation, data replication, quota management and access control. ",cicomponentREview,component,data access,,,iPlant,,HTTP API,,,,,,iRODS,,Data Management Middleware,globe.jpg,component
Data Pool,Land Processes Distributed Active Archive Center (LP DAAC),,"publicly available portion of the LP DAAC online holdings. Data Pool provides a more direct way to access files by foregoing their retrieval from the nearline tape storage devices. All Data Pool holdings are available at no cost to the user.
Available datasets include:
All MODIS data holdings
ASTER Level - 1B data for the U.S. and Territories
ASTER Level - 1A and Level - 1B Expedited data
All WELD data holdings
All NASA SRTM V3.0 data holdings
All ASTER GED data holdings
",cicomponentREview,web site,data access,,,,,,,,,,,,,Data Pool,globe.jpg,web site
Data presenter,Ocean observatory initiative (OOI),,,cicomponentREview,component,data presentation,,,,,,,,,,,planned?,,Data presenter,globe.jpg,component
Data Processing Levels - NASA EOSDIS,,http://science.nasa.gov/earth-science/earth-science-data/data-processing-levels-for-eosdis-data-products/,"EOSDIS data products are processed at various levels ranging from Level 0 to Level 4. Level 0 products are raw data at full instrument resolution. At higher levels, the data are converted into more useful parameters and formats. All EOS instruments must have Level 1 products. Most have products at Levels 2 and 3, and many have products at Level 4.",hli,vocabulary,information exchange,Published Standard,,NASA,,,,,,,,,,Data Processing Levels - NASA EOSDIS,vocabulary.jpg,vocabulary
Data repository,Ocean observatory initiative (OOI),,,cicomponentREview,component,repository,,,,,,,,,,,planned?,,Data repository,globe.jpg,component
Data servers,GEOSS,,Services to access Earth Observation data. Typically hosted by a facility that provides redundant resources for both high availability and high performance.,cicomponentREview,server application,Data access,,,GEOSS,OGC AIP-7 Architecture report,"ftp, WMS, WFS, WCS, OPeNDAP",,,,,,,,Data servers,globe.jpg,server application
Data Warehouse,EOSDIS,,"extract data from multiple production databases or information systems,  and to organize that data according to a common schema, so that the entire user community may access that data for decision-making and for the production of value-added products.",cicomponentREview,Data Access,Data access,,,,,,,,,,,,,Data Warehouse,dataservice.jpg,Data Access
DataBib,World Wide Web (WWW),http://databib.org/about.php,"Databib is a tool for helping people identify and locate online repositories of research data. Users and bibliographers create and curate records that describe data repositories that users can search.
Databib attempts to address these needs: --What repositories are appropriate for a researcher to submit his or her data to?
-- How do users find appropriate data repositories and discover datasets that meet their needs?
-- How can librarians help patrons locate and integrate data into their research or learning?
for the research community, including: data users, data producers, publishers and professional societies, librarians, research funding agencies",cicomponentREview,catalog,data repository management,operational,,Purdue University Libraries,,web site,,,,,,,,DataBib,icon_catalog.jpg,catalog
Dataset Dynamics (dady) vocabulary,,http://vocab.deri.ie/dady,A vocabulary that allows for coarse-grained descriptions of the data-source dynamics as well as the discovery of change notification mechanism(s).,,vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Dataset Dynamics (dady) vocabulary,vocabulary.jpg,vocabulary
DataZoo,,http://oceaninformatics.ucsd.edu/datazoo/resources/controlledvocabularies?action=set&id=212,"Web page listing catalogs for datasets from Palmer, Antarctica (PAL) LTER, California Cooperative Oceanic Fisheries Investigation (CalCOFI), and California Current Ecosystem (CCD) LTER site.",hli,Catalog,,,Ocean Science,Ocean Informatics,,,,,,,,,,DataZoo,icon_catalog.jpg,Catalog
Datum Definitions,,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/datum,vocabulary of datums for spatial reference systems (maybe),,vocabulary,information exchange,Published Standard,Ocean Science,NOAA IOOS,,,,,,,,,,Datum Definitions,vocabulary.jpg,vocabulary
Deegree,World Wide Web (WWW),http://www.deegree.org,"deegree is open source software for spatial data infrastructures and the geospatial web. deegree includes components for geospatial data management, including data access, visualization, discovery and security. Open standards are at the heart of deegree. The software is built on the standards of the Open Geospatial Consortium (OGC) and the ISO Technical Committee 211.
It includes the OGC Web Map Service (WMS) reference implementation, a fully compliant Web Feature Service (WFS) as well as packages for Catalogue Service (CSW), Web Coverage Service (WCS), Web Processing Service (WPS) and Web Map Tile Service (WMTS). Since 2000 deegree has been developed by lat/lon, with the strong intention to make it a community-driven project. A major step to this effect was the acceptance to be an OSGeo project in 2010. Today, deegree is maintained by several organisations and individuals with a large user base all around the world.",cicomponentREview,server application,data access,Operational,Global,Community; LatLong; OSGEO project,,,,,,,,"Java, PostGIS",,Deegree,globe.jpg,server application
deegree,,,"implements OGC WMS, WFS, CSW",hli,server application,,Operational,Various,OSGEO project,,,,,,,,,,deegree,globe.jpg,server application
DELOS A - Deep-ocean Environmental Long-term Observatory System - NOTHI,,http://www.delos-project.org/modules.php,"platforms deployed in February 2009: within 50 metres of a sea floor well. These platforms are situated off Angola, in the Atlantic Ocean in the oil and gas exploration region termed Block 18 at a depth of 1400 m. The platforms will be deployed for 25 years and serviced annually by ROV.",hli,platform,,Not Evaluated,Ocean Science,DELOS project,,,,,,,,,,DELOS A - Deep-ocean Environmental Long-term Observatory System - NOTHI,globe.jpg,platform
DELOS B - Deep-ocean Environmental Long-term Observatory System - NOTHI,,http://www.delos-project.org/modules.php,"platforms deployed in February 2009: 16 km from any sea floor infrastructure. These platforms are situated off Angola, in the Atlantic Ocean in the oil and gas exploration region termed Block 18 at a depth of 1400 m. The platforms will be deployed for 25 years and serviced annually by ROV.",hli,platform,,Not Evaluated,Ocean Science,DELOS project,,,,,,,,,,DELOS B - Deep-ocean Environmental Long-term Observatory System - NOTHI,globe.jpg,platform
Delta Format,,http://www.tdwg.org/standards/107/,"When taxonomic descriptions are prepared for input to computer programs, the form of the coding is usually dictated by the requirements of a particular program or set of programs. This restricts the type of data that can be represented, and the number of other programs that can use the data. Even when working with a particular program, it is frequently necessary to set up different versions of the same basic data, for example, when using restricted sets of taxa or characters to make special-purpose keys. The potential advantages of automation, especially in connexion with large groups, cannot be realized if the data have to be restructured by hand for every operation.
The DELTA (DEscription Language for TAxonomy) system was developed to overcome these problems. It was designed primarily for easy use by people rather than for convenience in computer programming, and is versatile enough to replace the written description as the primary means of recording data.
Consequently, it can be used as a shorthand method of recording data, even if computer processing of the data is not envisaged.",hli,specification,,Conceptual,Biology,Biodiversity Information Standards (TDWG),,,,,,,,,,Delta Format,globe.jpg,specification
DERI Team Vocabulary,,http://vocab.deri.ie/team,(enhance)DERI Team Vocabulary,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,DERI Team Vocabulary,vocabulary.jpg,vocabulary
DERI Vocabularies,,http://vocab.deri.ie/,collection of vocabularies,,catalog,,Unknown,Generic,Digital Enterprise Research Institute,,,,,,,,,,DERI Vocabularies,icon_catalog.jpg,catalog
Device Model Vocabulary,,http://www.rvdata.us/voc/model,Listing of instrumentation devices used in R2R system,hli,vocabulary,information exchange,Not Evaluated,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Device Model Vocabulary,vocabulary.jpg,vocabulary
Device Type Vocabulary,,http://www.rvdata.us/voc/devicetype,"Code, descriptions and examples of devices used in data collection.",,vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Device Type Vocabulary,vocabulary.jpg,vocabulary
DIFF Vocabulary,,http://vocab.deri.ie/diff,This vocabulary defines a set of terms for describing changes (diffs) to plain text documents. It can be used for example to model diffs between wiki page revisions.,,vocabulary,information exchange,Unknown,Various,Digital Enterprise Research Institute,,,,,,,,,,DIFF Vocabulary,vocabulary.jpg,vocabulary
Digi RealPort,Ocean Observatory Initiative (OOI),http://www.digi.com,"Digi’s RealPort software leverages TCP/IP network infrastructure to provide a virtual connection to serial devices. The software is installed directly on the server and allows applications to talk to devices across a network as though the devices were directly attached to the server. In actuality, the devices are connected to a Digi device server or terminal server somewhere on the network",cicomponentREview,instrument interface,hardware controller,operational,,Digi,,TCP/IP,,,,,,,,Digi RealPort,globe.jpg,instrument interface
Directory Interchange Format (DIF),,http://gcmd.nasa.gov/add/difguide/,"Product of an Earth Science and Applications Data Systems Workshop (ESADS) held February 24-26, 1987 on catalog interoperability (CI). The workshop recommended that a ""...first step towards data system interoperability, Catalog Interoperability (CI), the ability to find information about data held at other sites..."", be made. The DIF does not compete with other metadata standards. It is simply the ""container"" for the metadata elements that are maintained in the IDN database, where validation for mandatory fields, keywords, personnel, etc. takes place. The DIF is used to create directory entries which describe a group of data. A DIF consists of a collection of fields which detail specific information about the data. Eight fields are required in the DIF; the others expand upon and clarify the information. Some of the fields are text fields, others require the use of controlled keywords (sometimes known as ""valids"").  The DIF allows users of data to understand the contents of a data set and contains those fields which are necessary for users to decide whether a particular data set would be useful for their needs.",hli,interchange format,,Published Standard,Geospatial,NASA,,,,,,,,,,Directory Interchange Format (DIF),globe.jpg,interchange format
DisConBB: netCDF2WaterML,DisConBB,,Unidata THREDDS conversion utility. Converts a CDM-compliant timeseries datasets served by a THREDDS server to a WaterML timeseries.,Christian Ward-Garrison,server application,transformation,In Development,Generic,Unidata,,HTTP GET ,,Unidata Common Data Model compliant ,,WaterML 2,WaterML-netCDF common model,THREDDS web service,,ncdf2waterml,globe.jpg,
DisConBB: USGS NWIS WaterML to netCDF/CF,DisConBB,,"Tufts University conversion utility. Use NODC templates for CF usage, extend with CSDMS parameter",DArctur,application,transformation,In Development,Hydrology,DisConBB,,,,WaterML 1.1,,netCDF 4,WaterML-netCDF common model,R,,nwis2ncdf,globe.jpg,application
Discovery Metadata Service,Data.gov UK,http://location.defra.gov.uk/resources/discovery-metadata-service/,"The UK Location infrastructure enables you to find, share and reuse, location data, including data published under the INSPIRE Directive. Web site includes links for other resources for location services in the UK",hli,web site,discovery,Conceptual,Data Systems,Data.gov UK,,,,,,,,,,Discovery Metadata Service,globe.jpg,web site
docBuilder Tool,Global Change Information System,http://gcmd.nasa.gov/KeywordSearch/Metadata.do?Portal=GCMD&KeywordPath=%5BFreetext%3D%27docbuilder%27%5D%7CRefine+By+ServiceParameters%7CMETADATA+HANDLING%7CAUTHORING+TOOLS&EntryId=GCMD_docBUILDER&MetadataView=Full&MetadataType=1&lbnode=mdlb3#maincontent,"NASA's Global Change Master Directory (GCMD) web-based docBUILDER authoring tool provide the capability to create and modify metadata descriptions for GCMD metadata records include data set descriptions, service descriptions and ancillary information (Data Centers, Projects, Instruments, Platforms). The authoring tool is widely used among NASA's Distributed Active Archive Centers (DAACs).  Required EOSDIS user account to use",cicomponentREview,web site,metadata acquisition,,,"EOSDIS, GCMD, NASA",,,,,,,,,,docBuilder Tool,globe.jpg,web site
Docucomp,NGDC,,"Docucomp is a web application for managing XML components as part of an Enterprise Documentation Architecture. A component is a snippet of XML describing a specific piece of metadata content. They are stored in a database and managed with REST web services. The REST services support insert, search, update and delete operations. ",cicomponentREview,component,resource access,,,,,,,,,,,,,Docucomp,globe.jpg,component
GeoSoft DRAT Crawler,Geosoft,http://github.com/chrismattmann/drat/ ,"Returns services and dataset descriptions associated with them. Crawls edu, gov etc domains",YolandaGil,"server application, component, cloud platform",data validation and analysis,Operational / In Development,Generic,USC & JPL, ,"XML-RPC, HTTP REST","CSV, JSON",code repository,code repository,CSV DRAT report (aka RAT report),RAT CSV,"Apache OODT, Apache Tika, Apache RAT","Until Github goes away and if it does, Apache",DRAT,globe.jpg,application / cloud server
DRDC Atlantic NADAS Parameter Codes,,http://mmisw.org/orr/#http://mmisw.org/ont/drdc/parameter,"Parameter codes used by the QUEST Non acoustic data acquisition system (NADAS). All codes used in NADAS are numeric (e.g., 013). The alpha codes (e.g., WTSS) have been added to support the descriptions of the numeric codes. The alpha codes are not actually part of the data stream.",,vocabulary,information exchange,Community-Established,Ocean Science,Defence Research and Development Canada,,,,,,,,,,DRDC Atlantic NADAS Parameter Codes,vocabulary.jpg,vocabulary
