Author#hide,publication_date#info,ID#info,title#info,keywords_thematic#multi,Keyword: Geologic Time Tier 1#multi,Keyword: Geologic Time Tier 2#multi,Keyword: Discipline Tier 1#multi,Keyword: Discipline Tier 2 Human#multi,Keyword: Discipline Tier 2 Scraped#multi,resource_url#link,DataType,resource_type#multi,description#info,Services#multi,originator_contact_org_name#info,originator_contact_email#info,Comments#info,Software >Language#info,Software >Operating System#info,Software >Version#info,Software> Licence#info,REPOSITORIES#info,originator_contact_city#info,originator_contact_state#info,originator_contact_zip#info,Repository >Mailing_Address >Country#info,Repository >Physical_Address >Street#info,Repository >Physical_Address >City/Town#info,Repository >Physical_Address >State/Province#info,Repository >Physical_Address >Zip#info,Repository >Physical_Address >Country#info,Repository >Collection Type,Repository >Curator#info,Databases >Endpoint API#info,Databases >Last Update Date#info,Databases >Funding Organization#info,#name,#img,#href
Kaleb,,c4p/nsf-gov/0001324,Kentucky Geological Survey Water Well and Spring Records Database,GIS,,,Hydrology,"hydrology, limnology, ","GIS, Data, data",http://kgs.uky.edu/kgsweb/DataSearching/Water/WaterWellSearch.asp,,database,"A database of water well and spring records for Kentucky. The database is searchable by 1:24,000 quadrangle, county, advanced lat/long coordinate radius search, advanced decimal degree coordinate search, AKGWA number, driller name and information, owner name and information, drill date, and more. Includes a mapping application for mapping sites.",,,,,,,,,,,,,,,,,,,,,,,,Kentucky Geological Survey Water Well and Spring Records Database,database.jpg,http://kgs.uky.edu/kgsweb/DataSearching/Water/WaterWellSearch.asp
Kaleb,,c4p/nsf-gov/0001326,Kentucky Geological Survey Groundwater-Quality Database,"water, well, GIS, samples",,,Hydrology,"hydrology, limnology, ","Mining, GIS, data, Petroleum, Environmental, statistical, Inorganic, Organic, Data",http://kgs.uky.edu/kgsweb/DataSearching/Water/WaterQualSearch.asp,,database,"A database of groundwater-quality data from Kentucky. The database is searchable by 1:24,000 quadrangle, county, advanced lat/long coordinate radius search, advanced decimal degree coordinate search, AKGWA number, sampler name and information,  sampling date, regulatory program, and multiple analytes including herbicides, inorganics, metals, nutrients, PCBs, pesticides, petroleum hydrocarbons, and many more. Includes a mapping application for mapping sites.",,,,,,,,,,,,,,,,,,,,,,,,Kentucky Geological Survey Groundwater-Quality Database,database.jpg,http://kgs.uky.edu/kgsweb/DataSearching/Water/WaterQualSearch.asp
Ryan,,c4p/nsf-gov/0001330,IAEA-MIBA (Moisture Isotopes in the Biosphere and Atmosphere),"continental, climate, global, atmospheric, models, couple, regional, C, analysis, ocean, water, applications, United States, reconstructions, ice, samples, analytical, model, analyze, change",,,Hydrology,"paleoclimatology, hydrology","terrestrial, Visualization, regional, Hydrology, hydrology, Nuclear, Energy, Regional, Analysis, data, analysis, atmospheric, Data, isotopic, Resources",http://www-naweb.iaea.org/napc/ih/IHS_resources_miba.html,,database,"Authoritative database to retrieve isotope data from the biosphere and atmosphere. The database integrates isotope applications in the hydrological cycle, carbon cycle, and climate research.","modern water isotope data, access and download",,,,,,,,,,,,,,,,,,,,,,,IAEA-MIBA (Moisture Isotopes in the Biosphere and Atmosphere),database.jpg,http://www-naweb.iaea.org/napc/ih/IHS_resources_miba.html
Ryan,,c4p/nsf-gov/0001331,national hydrography dataset USGS,"map, GIS, mapping, analysis, water, source, geographic",,,Hydrology,"hydrology, geophysics, exploration geophysics, Stratigraphy, geodynamics","GIS, data, mapping, analysis, Data, Resources",http://nhd.usgs.gov/,,database,"Database retrieves hydrologic data. The database represents the drainage network with features such as rivers, streams, canals, lakes, ponds, coastline, dams, and streamgages of the National Hydrography Dataset. ",,,,,,,,,,,,,,,,,,,,,,,,national hydrography dataset USGS,database.jpg,http://nhd.usgs.gov/
Ryan,,c4p/nsf-gov/0001332,National Rivers and Streams assessment,"analytical, water, regional, United States",,,Hydrology,"hydrology, geophysics, exploration geophysics, stratigraphy, geodynamics","Taxonomy, regional, Environmental, Data, Resources, Metadata",http://water.epa.gov/type/rsl/monitoring/riverssurvey/index.cfm,,database,Database that retrieves hydrologic data on rivers and streams. ,,,,,,,,,,,,,,,,,,,,,,,,National Rivers and Streams assessment,database.jpg,http://water.epa.gov/type/rsl/monitoring/riverssurvey/index.cfm
Ryan,,c4p/nsf-gov/0001333,USGS NWIS Database,"water, United States",,,Hydrology,"yydrology, geophysics, exploration geophysics, Stratigraphy, geodynamics, data,  geology ","data, Data, Resources",http://waterdata.usgs.gov/nwis,,database,Database that retrieves hydrologic data. These pages provide access to water-resources data collected at approximately 1.5 million sites in all 50 States.,,,,,,,,,,,,,,,,,,,,,,,,USGS NWIS Database,database.jpg,http://waterdata.usgs.gov/nwis
Ryan,,c4p/nsf-gov/0001337,Silicasecchidisk,"diatoms, image, microfossils, lake, coastal, maps, ecological, United States, Cenozoic, algae, images, geographic, Eocene",,"Cenozoic, Eocene",Hydrology,"limnology, microbiology, micropaleontology, microfossil","Ecology, data, paleoenvironment, microfossil",http://fmp.conncoll.edu/Silicasecchidisk/Main_Menu_Frameset.html,,database,"Database that retrieves limnological and phycological data. The database provides tools for research on scaled chrysophytes and diatoms, an
extensive limnological database, educational aids for the study of freshwater algae, and serves
as the primary outlet for the distribution of data and information generated by the Freshwater
Ecology Laboratory and the Connecticut College.",,,,,,,,,,,,,,,,,,,,,,,,Silicasecchidisk,database.jpg,http://fmp.conncoll.edu/Silicasecchidisk/Main_Menu_Frameset.html
Ryan,,c4p/nsf-gov/0001348,NASA Global Seawater d18O database,,,,Oceanography,"paleoclimatology, climate",,http://data.giss.nasa.gov/o18data,,database," Database is made up of a collection of over 26,000 seawater O-18 values made since about 1950. This includes  d18O, salinity, temperature, depth, latitude, longitude, reference, deuterium, year and month, gridded data, and unpublished data. Temperature measurements can be in-situ or potential temperature (theta).",searchable database of d18O of seawater,Gavin Schmidt,,,,,,,,,,,,,,,,,,,,,,NASA Global Seawater d18O database,database.jpg,http://data.giss.nasa.gov/o18data
Ryan,,c4p/nsf-gov/0001359,Nd-isotope database,"oceanic, satellite, global, coupled, models, regional, climate, ocean, water, images, modeling, model, change",,,Oceanography,"paleoclimatology, climate","satellite, regional, isotopic, Geology, Regional, Geochemistry, coastal, Oceanography, Data",http://www.legos.obs-mip.fr/recherches/equipes/geomar/Nd_DataBase,,database,"Database of the neodymium isotopic composition of seawater. Marine Geochemistry allows the quantification of fluxes transported from the land to the ocean, within the ocean and from the ocean to the seafloor. This quantification is a key for a better understanding of what controls the average chemical composition of the ocean, the low frequency transports and mixing of water masses. These are essential components in climate regulation, anthropogenic CO2 sequestration or distribution of polluting elements in water masses. ",searchabe database,Francois Lacan,,,,,,,,,,,,,,,,,,,,,,Nd-isotope database,database.jpg,http://www.legos.obs-mip.fr/recherches/equipes/geomar/Nd_DataBase
Ryan,,c4p/nsf-gov/0001362,Climatological Database for the World's Oceans,,,,Oceanography,"oceanography, geology, geosciences, geochemistry, geodynamics,  paleooceanography",,http://www.ucm.es/info/cliwoc/index.htm,,database,"Database that retrieves information about the North and South Atlantic, the Indian, and the Pacific Oceans. System contains the Climatological database for the World's Oceans from 1750 to 1850.",documentary records from marine vessels 17501850,Peter Gell,,,,,,,,,,,,,,,,,,,,,,Climatological Database for the World's Oceans,database.jpg,http://www.ucm.es/info/cliwoc/index.htm
Kaleb,,c4p/nsf-gov/0001365,Animal Diversity Web,"climate, material, image, global, analysis, source, mammal, change",,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity","polar, Biology, Ecology, biodiversity, analysis, Evolutionary, Zoology, mammal, Data, Resources",http://animaldiversity.ummz.umich.edu,,database,"Database of animal natural history, distribution, classification, and conservation biology. Search through collections of mammal anatomy, contributor galleries, spinning skulls, and frog calls.",basic zoological and taxonomic data,,,,,,,,,,,,,,,,,,,,,,,Animal Diversity Web,database.jpg,http://animaldiversity.ummz.umich.edu
Kaleb,,c4p/nsf-gov/0001367,BugCEP Coleopteran Ecology Package,"climate, ecology, well, reconstruction",,,Paleobiolology,"paleoentomology, entomology, ecology, paleontology, biology, biodiversity, repositories, taxonomy","ecology, environmental, data, entomology, Environmental, Ecology, Data, Archaeology",http://www.bugscep.com,,database,"Database that retrieves entomological habitat and distribution data. The database is a research and teaching aid for palaeoentomology, entomology and ecology. As well as habitat and distribution data, it includes tools for climate and environmental reconstruction, and facilities for storing site based abundance and collection data. A variety of searching and reporting functions greatly augment the efficiency of beetle based research.","research and teaching aid, data and tools",,,,,,,,,,,,,,,,,,,,,,,BugCEP Coleopteran Ecology Package,database.jpg,http://www.bugscep.com
Kaleb,,c4p/nsf-gov/0001369,Chronos Taxon Atlas,"Mesozoic, Cretaceous, Paleocene, stratigraphic, images, geographic, Eocene",,"Mesozoic, Eocene, Cretaceous, Paleocene",Paleobiolology,"biostratigraphers, paleoceanographers, taxonomists","Paleobiology, taxonomy, biostratigraphy, Resources, morphology",http://portal.chronos.org/gridsphere/gridsphere?cid=res_foram,,database,"Database of taxonomic databases. Choose between the  Mesozoic Planktonic Foraminiferal Taxonomic Dictionary, Paleocene Planktonic Foraminiferal Taxonomic Database, Eocene Planktonic Foraminiferal Taxonomic Database, HTML Atlas of Paleocene Planktonic Foraminifera, and HTML Foraminifera Guide.",taxonomic atlas for planktic foraminfera,Brian Huber,,,,,,,,,,,,,,,,,,,,,,Chronos Taxon Atlas,database.jpg,http://portal.chronos.org/gridsphere/gridsphere?cid=res_foram
Kaleb,,c4p/nsf-gov/0001370,Date A Clade,"fossils, tree",,,Paleobiolology,"evolutionary biology, paleontology, evolution, biology, biodiversity, life, paleoecology, paleoentomology, paleobotany, paleorecord community, phylogenetics, taxonomy, taxonomists, ichthyologist","Molecular, Ecology, Biology, Biodiversity, molecular",http://www.fossilrecord.net/dateaclade/index.html,,database,"Database of fossil calibrations for molecular divergence estimates for various evolutionary groups. Search through the Palaeozoic, Mesozoic, and Cenozoic Eras.",static database of fossil calibrations for molecular divergence estimates for various evolutionary groups,Mike Benton/Phil Donoghue,,,,,,,,,,,,,,,,,,,,,,Date A Clade,database.jpg,http://www.fossilrecord.net/dateaclade/index.html
Kaleb,,c4p/nsf-gov/0001371,Diatom Paleolimnology Data Cooperative,"core, climate, regional, global, lake, paleoecology, water, ecological, stratigraphic, cores, sediment, change",,,Paleobiolology,"paleolimnologists, diatomists, neotoma, paleobiology, paleontology, paleorecord community, limnologists, limnogeology,","hydrology, environmental, data, regional, paleoecology, Environmental, Data",http://diatom.ansp.org/dpdc,,database,"Database of diatom and associated ecological and paleolimnological data. It contains data on regional surface-sample calibration sets (counts, water chemistry, inference models), sediment cores (counts, dating information, and diatom inferred characteristics), and other types of samples.","training sets, diatom identification",Don Charles,,,,,,,,,,,,,,,,,,,,,,Diatom Paleolimnology Data Cooperative,database.jpg,http://diatom.ansp.org/dpdc
Kaleb,,c4p/nsf-gov/0001372,ESRF paleontological microtomographic database,open,,,Paleobiolology,"archeology, biodiversity, collections, ecology, entomology, evolution, metadata, paleoecology, paleoentomology, paleontology, taxonomy",data,http://paleo.esrf.eu/,,database,"Database of paleontological data. Search by category: Paleoanthropology, invertebrate paleontology, and vertebrate paleontology.",,,,,,,,,,,,,,,,,,,,,,,,ESRF paleontological microtomographic database,database.jpg,http://paleo.esrf.eu/
Kaleb,,c4p/nsf-gov/0001373,European Diatom Database,"water, application, climate, analysis",,,Paleobiolology,"diatomists, neotoma, paleontology, paleobiology, paleorecord community, paleolimnologists, climate, paleoclimatology, conservation, hydrology, geochemistry",analysis,http://craticula.ncl.ac.uk/Eddi/jsp,,database,"Database of diatoms. Database is designed to enhance the application of diatom analysis to problems of surface water, acidification, eutrophication, and climate change.",collection of training sets,Steve Juggins,,,,,,,,,,,,,,,,,,,,,,European Diatom Database,database.jpg,http://craticula.ncl.ac.uk/Eddi/jsp
Kaleb,,c4p/nsf-gov/0001374,FishBase,,,,Paleobiolology,"ichthyologist, biodiversity, conservation, paleontology, paleolimnology, limnology, paleoecology","Ichthyology, Ecology, Genetics, data, Regional, Analysis, Biodiversity, ecology, analysis, Coastal, morphology, genetics, Data",http://fishbase.org,,database,"Database of icthological data. Search over 32,800 species, 303,500 common names, 54,300 pictures, and 50,600 references.",all info about fish (all of it!),,,,,,,,,,,,,,,,,,,,,,,FishBase,database.jpg,http://fishbase.org
Kaleb,,c4p/nsf-gov/0001375,Fossil  record electronic database (FRED),"stratigraphic, regional, geographic, Antarctica, samples",,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity","data, regional, Data, paleoenvironment",http://fred.org.nz,,database,"Database for fossil localities in New Zealand and nearby regions including SE Pacific Islands and the Ross Sea region of Antarctica. The database contains initial registration information about fossil localities: geographic coordinates, collecting details, including geological context, and initial repository of specimens.",Paleobiological research database for NZ and nearby regions,,,,,,,,,,,,,,,,,,,,,,,Fossil  record electronic database (FRED),database.jpg,http://fred.org.nz
Kaleb,,c4p/nsf-gov/0001376,Fossil Calibration Database (forthcoming),"fossils, open",,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity, organismal biology","biology, molecular, paleontology, data, Evolutionary, resources, statistical, Molecular, Data, Resources",http://www.nescent.org/science/awards_summary.php?id=259,,database,"Database of fossil calibrations for divergence dating. The database includes fossil specimens, geochronology, phylogeny, etc.","fossil calibrations for divergence dating; data include fossil specimens, geochronology, phylogeny, etc",James Parham/Daniel Ksepka,,,,,,,,,,,,,,,,,,,,,,Fossil Calibration Database (forthcoming),database.jpg,http://www.nescent.org/science/awards_summary.php?id=259
Kaleb,,c4p/nsf-gov/0001377,GBIF (Global Biodiversity Information Facility),"models, ecological, global, marine",,,Paleobiolology,"ecology, biodiversity, bioscience, conservation, organismal biology, forestry, entomology, ichthyologist, limnologist, taxonomy","Biodiversity, Data, Regional, biodiversity, data, Resources",http://gbif.org,,database,"Database of species occurrences. Search over 448,671,405 occurrences, 1,454,695 species, 15,222 datasets, and 613 data publishers.",species occurances,,,,,,,,,,,,,,,,,,,,,,,GBIF (Global Biodiversity Information Facility),database.jpg,http://gbif.org
Kaleb,,c4p/nsf-gov/0001378,iDigBio,material,,,Paleobiolology,"ecology, biodiversity, bioscience, conservation, organismal biology, forestry, entomology, ichthyologist, limnologist, taxonomy","Biodiversity, data",http://idigbio.org/portal,,database,"Database of biological specimens. Search over 15.6 million specimen records, 2.3 million media records, and 270 record sets.",database of neo and paleo biological specimens,David Jennings,,,,,,,,,,,,,,,,,,,,,,iDigBio,database.jpg,http://idigbio.org/portal
Kaleb,,c4p/nsf-gov/0001379,Insect,"States, map, climate, United States, mammal",,,Paleobiolology,"entomology, paleoentomology, ecology, biology, evolution","Paleoceanography, Satellite, Ecology, data, entomology, Paleoecology, mammal, Data, Metadata",http://www.ncdc.noaa.gov/data-access/paleoclimatology-data/datasets/insect,,database,"Database of entomological data and insect-based climate reconstructions. The database allows you to search and browse through datasets, which include Chironomid, Chironomid-Inferred Temperature, Midge-Inferred Temperature, and North American Beetle data.  ",part of NOAA paleo,,,,,,,,,,,,,,,,,,,,,,,Insect,database.jpg,http://www.ncdc.noaa.gov/data-access/paleoclimatology-data/datasets/insect
Kaleb,,c4p/nsf-gov/0001380,INTERRAD-Mesozoic Radiolaria Database,"Europe, correlated, fossils, Mesozoic, geology, Paleozoic, well, stratigraphy, Cenozoic, Cretaceous, samples, images, marine, Cambrian",,"Cambrian, Cenozoic, Mesozoic, Cretaceous, Paleozoic",Paleobiolology,"paleoceanography, micropaleo communities, paleoentomology, paleobiology, paleontology,  marine geology, paleoecology, biodiversity, evolution","microfossil, data, stratigraphy, geology",http://www2.unil.ch/interrad-mrd/login.php?dbase=radiolaria,,database,"Database of radiolaria. This database contains the INTERRAD Jurassic-Cretaceous Working Group (1995) radiolarian database with the systematics, sample database, and the UAZ95 biochronology. It also includes the Middle Cretaceous radiolarian biochronology and palaeontology from Northern Apennines and Betic Cordillera by O’DOGHERTY (1994). ",taxonomic atlas of Mesozoic radiolaria data,Peter Baumgartner,,,,,,,,,,,,,,,,,,,,,,INTERRAD-Mesozoic Radiolaria Database,database.jpg,http://www2.unil.ch/interrad-mrd/login.php?dbase=radiolaria
Kaleb,,c4p/nsf-gov/0001381,national phenological network,"visualization, climate, United States, well, change",,,Paleobiolology,"citizen science, public, climate, meteorologist, entomology, data communities, conservation, ecology, biodiversity","Data, visualization, Atmospheric, data, Visualization",http://www.usanpn.org,,database,"Database of phenological data. The USA National Phenology Network (USA-NPN) monitors the influence of climate on the phenology of plants, animals, and landscapes.
",phenology,,,,,,,,,,,,,,,,,,,,,,,national phenological network,database.jpg,http://www.usanpn.org
Kaleb,,c4p/nsf-gov/0001382,Neotoma Paleoecology Database,"diatoms, geographic, visualize",,,Paleobiolology,"paleoclimatology, paleoenvironment, data communities, repositories, evolution, evolutionary biology, paleoclimate, climate, paleontology, archaeology, conservation, paleoecology, ecology, biogeography, biodiversity, public, general public","data, Data, Paleoecology, Taphonomy, metadata",http://www.neotomadb.org,,database,"Database that retrieves paleoenvironmental data. Database covers the Pliocene-Quaternary part of the geologic record, the time during which humans evolved and during which modern ecosystems developed.","paleoecology, data download and visualization",Eric Grimm,,,,,,,,,,,,,,,,,,,,,,Neotoma Paleoecology Database,database.jpg,http://www.neotomadb.org
Kaleb,,c4p/nsf-gov/0001383,NMITA  Neogene Marine Biota of Tropical America,,,,Paleobiolology,"geoscience, biosciences, taxonomy, taxonomists, paleontology, ecology, paleoecology, marine geology, biology, evolution, evolutionary biology, entomology, biodiversity, micropaleo communities,",,http://eusmilia.geology.uiowa.edu,,database,"Database that retrieves Neogene marine biota data of Tropical America. Search through taxonomic lists, maps and faulan lists, identification keys, morphologic characters, instructional aids, Bivalves, Gastropods, Bryozoans, Azooxanthellate Corals, Zooxanthellate Corals, Benthic Foraminifera, Ostracodes, and Elasmobranchs and Teleosteans.",Taxonomic database of tropical marine invertebrates,"N.Budd, J. Klaus",,,,,,,,,,,,,,,,,,,,,,NMITA  Neogene Marine Biota of Tropical America,database.jpg,http://eusmilia.geology.uiowa.edu
Kaleb,,c4p/nsf-gov/0001384,Ocean Biogeographic Information System (OBIS),"maps, ecological, analyze, marine",,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, fossil algae, taxonomy, life, diatomists, evolution, collections, biodiversity, marine geology, oceanography, ichthyologist, ecology","data, biodiversity, Regional, Data, Metadata",http://iobis.org,,database,"Database of marine species occurrences. Users can identify biodiversity hotspots and large-scale ecological patterns, analyze dispersions of species over time and space, and plot species' locations with temperature, salinity, and depth. ",marine species occurrances,,,,,,,,,,,,,,,,,,,,,,,Ocean Biogeographic Information System (OBIS),database.jpg,http://iobis.org
Kaleb,,c4p/nsf-gov/0001385,Peabody Paleo Portal (Yale),,,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity, data communities, evolutionary biology, sample collectors",,http://peabody.yale.edu/collections,,database,"Database of digitized museum data holdings. Search by clicking search the collections, the collections, collection contacts, using the collections, office of collections and operations, facilities, collections policies, scientific publications, specimen identifications, database, conservation lab, and the collections blog.",digitized museum data holdings,Derek Briggs,,,,,,,,,,,,,,,,,,,,,,Peabody Paleo Portal (Yale),database.jpg,http://peabody.yale.edu/collections
Kaleb,,c4p/nsf-gov/0001386,radiolaria.org,"Silurian, Ordovician, Miocene, Triassic, Devonian, Pleistocene, Pliocene, Oligocene, Paleocene, water, Permian, Cretaceous, geographical, images, Cambrian, Eocene, Holocene",,"Silurian, Ordovician, Miocene, Devonian, Pleistocene, Pliocene, Oligocene, Paleocene, Permian, Cretaceous, Triassic, Cambrian, Eocene, Holocene",Paleobiolology,"paleobiology, paleontology, paleoentomology, paleorecord community, ecology, paleoecology, diatomists",,http://radiolaria.org,,database,"Database of radiolaria. Search the database by fossil and recent with images, descriptions, references, synonyms and links to other online resources.","images, stratigraphic data and taxonomic data on radiolarians",,,,,,,,,,,,,,,,,,,,,,,radiolaria.org,database.jpg,http://radiolaria.org
Kaleb,,c4p/nsf-gov/0001387,Smithsonian Museum of Natural History Paleontology and Sediment Collections,"fossils, Permian, analysis, collections, samples, microfossils, sediment",,Permian,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity, sedimentary geology, stratigraphy, biostratigraphers","Paleobiology, analysis",http://paleobiology.si.edu/collections/paleocollections.html,,database,"Database of paleobiological collections. Search over 40 million fossil animals including (invertebrates and vertebrates), fossil plants, fossil unicellular organisms, and sediment samples. ",metadata and images for specimens and samples accession by Smithsonian and NMNH,Brian Huber,,,,,,,,,,,,,,,,,,,,,,Smithsonian Museum of Natural History Paleontology and Sediment Collections,database.jpg,http://paleobiology.si.edu/collections/paleocollections.html
Kaleb,,c4p/nsf-gov/0001388,Southern Louisiana Paleo Database,,,,Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord community, taxonomy, life, diatomists, evolution, collections, biodiversity",,http://biostratigraphy.com,,database,"Database provides extensive biostratigraphic services. Database contains Palynology, micropalaeontology, nannofossils, conodonts, radiolaria and more. ",,,,,,,,,,,,,,,,,,,,,,,,Southern Louisiana Paleo Database,database.jpg,http://biostratigraphy.com
Kaleb,,c4p/nsf-gov/0001389,Cook Inlet Palynology Control Data Base,"map, climate, material, Mesozoic, maps, global, well, application, samples, stratigraphic, East",,Mesozoic,Paleobiolology,"climate, paleoclimate, pollen, paleoenvironment, paleobiology, biostratigraphers, evolution, paleorecord community, scientific drilling","biostratigraphy, data, palynology, Biostratigraphy, Palynology, Data",http://biostratigraphy.com/CookInlet.html,,database,Database of biostratigraphic data. This stratigraphic control database consists of palynological biostratigraphy for 84 wells and one outcrop area in the Cook Inlet Region of south-central Alaska. Palynozones are plotted on well logs for 83 wells.,,,,,,,,,,,,,,,,,,,,,,,,Cook Inlet Palynology Control Data Base,database.jpg,http://biostratigraphy.com/CookInlet.html
Kaleb,,c4p/nsf-gov/0001390,Palcon Database,"onshore, coastal",,,Paleobiolology,"scientific drilling, stratigraphy, stratigraphic data, sedimentary geology, sedimentology research communities, petroleum geology, hydrology, geophysics, geochronology, mineralogy, petrology, natural resources",data,http://biostratigraphy.com/palcon.html,,database,"Database of biostratigraphic data for Texas. Database is a paleontological control in the Frio-Vicksburg Trend for the southern half of the onshore Texas Gulf Coast with 2,640 control wells in 22 counties. The database contains almost 3,000 Frio, Vicksburg and Jackson tops.",,,,,,,,,,,,,,,,,,,,,,,,Palcon Database,database.jpg,http://biostratigraphy.com/palcon.html
Kaleb,,c4p/nsf-gov/0001391,Sothern Louisiana Paleo Database,East,,,Paleobiolology,"scientific drilling, stratigraphy, stratigraphic data, sedimentary geology, sedimentology research communities, petroleum geology, hydrology, geophysics, geochronology, mineralogy, petrology, natural resources",data,http://biostratigraphy.com/SLApaleo.html,,database,"Database of biostratigraphic data for Southern Louisiana. Database contains approximately 4,785 wells with paleo data from 31 parishes, with approximately 33,500 sample records (age or paleo markers). The paper database is currently being digitized. ",,,,,,,,,,,,,,,,,,,,,,,,Sothern Louisiana Paleo Database,database.jpg,http://biostratigraphy.com/SLApaleo.html
Kaleb,,c4p/nsf-gov/0001392,Released GOM Paleo Data,well,,,Paleobiolology,"scientific drilling, stratigraphy, stratigraphic data, sedimentary geology, sedimentology research communities, petroleum geology, hydrology, geophysics, geochronology, paleoecology, mineralogy, petrology, natural resources","data, paleontology",http://biostratigraphy.com/GOMPaleo.html,,database,"Database of Gulf of Mexico biostratigraphy. Database contains over 15,800 paleontology well report summaries, over 85,179 paleontology sample records, and value-added product. Search, sort, export organized data subsets.",,,,,,,,,,,,,,,,,,,,,,,,Released GOM Paleo Data,database.jpg,http://biostratigraphy.com/GOMPaleo.html
Kaleb,,c4p/nsf-gov/0001393,DSDP Paleo Database,,,,Paleobiolology,"scientific drilling, stratigraphy, stratigraphic data, sedimentary geology, sedimentology research communities, petroleum geology, hydrology, geophysics, geochronology, paleoecology, mineralogy, petrology, natural resources",data,http://biostratigraphy.com/DSDP_paleo.html,,database,"Database of World-wide Deep sea paleontological data. Database contains publicly available data that has been re-organized and converted into a usable file format. 2,093 data sets for 21 different fossil types. ",,,,,,,,,,,,,,,,,,,,,,,,DSDP Paleo Database,database.jpg,http://biostratigraphy.com/DSDP_paleo.html
Kaleb,,c4p/nsf-gov/0001407,TimeTree,facility,,,Paleobiolology,"evolutionary biology, paleontology,  biology, biodiversity,  paleoecology, paleoentomology, paleobotany, paleorecord, phylogenetics, taxonomy, ichthyology","evolutionary, data, Resources",http://www.timetree.org,,database,A database of information on the timescale and evolutionary history of taxonomic life. Information on published evolutionary taxonomoic divergence is derived by entering two taxa into the database.,static database of molecular divergence estimates for various evolutionary gps,Blair Hedges,,,,,,,,,,,,,,,,,,,,,,TimeTree,database.jpg,http://www.timetree.org
Kaleb,,c4p/nsf-gov/0001408,Trace Fossil Image Database,"graphical, fossils, image, vertebrate, invertebrate, images",,,Paleobiolology,"paleontology,  paleoecology, paleobiology, paleorecord ","vertebrate, invertebrate, Vertebrate, Invertebrate",http://www.envs.emory.edu/faculty/MARTIN/ichnology/images.htm,,database,"A database consisting of images and basic information concerning trace fossils. Included in this information are formation, age, and locality of the specimen if known.",database of trace fossil images,Tony Martin,,,,,,,,,,,,,,,,,,,,,,Trace Fossil Image Database,database.jpg,http://www.envs.emory.edu/faculty/MARTIN/ichnology/images.htm
Kaleb,,c4p/nsf-gov/0001409,UCMP Database (University of California Museum of Paleontology),"Pliocene, Java, United States, coastal, Mac, Greenland, Antarctica",,"Silurian, Mesozoic, Ordovician, Miocene, Devonian, Paleozoic, Pleistocene, Pliocene, Mississippian, Oligocene, Paleocene, Permian, Cambrian, Cenozoic, Cretaceous, Triassic, Pennsylvanian, Eocene, Holocene",Paleobiolology,"paleontology, paleobiology, paleoecology, paleoentomology, paleorecord, taxonomy,  microbiology,   biodiversity","Petroleum, Coastal, Paleontology",http://ucmpdb.berkeley.edu,,database,"A fossil database from the University of California Museum of Paleontology. The database can be searched according to collection, spec no., family, genus, species, local ID number, country, state, county, era/eon, period, epoch, and more.",paleontological specimen data,Mark Goodwin,,,,,,,,,,,,,,,,,,,,,,UCMP Database (University of California Museum of Paleontology),database.jpg,http://ucmpdb.berkeley.edu
Ryan,,c4p/nsf-gov/0001415,Paleobiology Database (PaleobioDB),,,,Paleobiolology,"paleobiology, sedimentology, geodynamics",Paleobiology,http://paleobiodb.org,,database,"Public database for paleontological data that provides collection based occurrence and taxonomic data. Allows for independent development of analytical tools, visualization software, and applications of all types. Data types include references, taxa, opinions, collections, occurrences, and contributing scientists. ",Paleoanthropology web site of fossil occurrence data,"Shanan Peters, Mark D. Uhen",,,,,,,,,,,,,,,,,,,,,,Paleobiology Database (PaleobioDB),database.jpg,http://paleobiodb.org
Ryan,,c4p/nsf-gov/0001431,Encyclopedia of Life,"model, United States, tree",,,Paleobiolology,", citizen science","Taxonomy, biology, Biodiversity",http://www.eol.org,,database,"Free online software resource bringing together information about all life on Earth including text, images, video, sounds, maps, classifications, and more. The Software contains everything from Amphibians to Worms.","aggregates information about species, including extinct species",,,,,,,,,,,,,,,,,,,,,,,Encyclopedia of Life,database.jpg,http://www.eol.org
Ryan,,c4p/nsf-gov/0001442,EDNA Fossil Insect Database,,,,Paleobiolology,"data,  entomology, paleoentomology",data,http://edna.palass-hosting.org,,database,"Database for the holotypes fossil insects in the world. In the 2013 edition there were approximately 26,200 species names extracted from 5018 references. The data is held in 38 fields, all of which are searchable, independently or in combination, and the output can contain any one or more as required.",,,,,,,,,,,,,,,,,,,,,,,,EDNA Fossil Insect Database,database.jpg,http://edna.palass-hosting.org
