Component Name#info,System,URL#link,Component Description#info,Source,Component Type#multi,Function#multi,Maturity/status,Domain Community#multi,Steward Organization,References-Text#info,Protocols#multi,InterchangeFormats#multi,InputFileFormat#multi,Input parameters#multi,Output file format#multi,InformationModels#multi,Implementation#multi,TimeToLive#info,#name,#img,#href
CASPER,Ocean Observatory Initiative (OOI),http://casper.jpl.nasa.gov/,"CASPER is capable of executing ASPEN generated mission plans in continuous (embedded, non-interactive) mode. Part of mission execution is observing environmental and resource state (such as battery power), triggering activities and compensating for any failure scenarios within the scope of execution.",Original CIComponent Compilation,Execution environment,workflow management,Operational,Data Systems,NASA JPL,,,,,,,,,,CASPER,globe.jpg,http://casper.jpl.nasa.gov/
CEH Information Gateway,,https://gateway.ceh.ac.uk/home,"Vocabulary to describe capabilities. This is a capability meta-model that is presented as an rdf schema for describing capabilities as an action verb and a set of attributes. Additionaly, this schema defines the possible attribute value types that can be considered when modelling capabilities: ConditionalValue, ConstrainedValue, EnumerationValue, DynamicValue and RangeValue (Source: DERI)",NotDocumented,Catalog,Data access,Community-Established,BiologicalSpeciesEcology,Centre for Ecology and Hydrology,,,,,,,,,,CEH Information Gateway,icon_catalog.jpg,https://gateway.ceh.ac.uk/home
CeNCOOS water monitoring subset and extension of CF parameter vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/cencoos/parameter,Vocabulary for describing water time-series data. Vocabulary of water time-series data. It is a subset of the CF vocabulary that is extended where the CF vocabulary is insufficient (Source: MMI),NotDocumented,Vocabulary,information exchange,Community-Established,Hydrology,Central and Northern California Ocean Observing System,,,,,,,,,,CeNCOOS water monitoring subset and extension of CF parameter vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/cencoos/parameter
Center for Operational Oceanographic Products and Services (CO-OPS) Quality Control Flag Definitions,,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/CO-OPSqcFlags,A list of NOAA's Center for Operational Oceanographic Products and Services (CO-OPS) quality control flags.,High level inventory Pivot Viewer,Vocabulary,information exchange,Published Standard,Ocean Science,NOAA IOOS,,,,,,,,,,Center for Operational Oceanographic Products and Services (CO-OPS) Quality Control Flag Definitions,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/ioos/CO-OPSqcFlags
Central Irminger Sea Mooring (FIXO3 CIS),Fixed point Open Ocean Observatory network (FixO3),http://www.geomar.de/en,"Multidisciplinary mooring, located in the Central Irminger Sea, Subpolar North Atlantic and part of the FP7 NACLIM project. The site is located in the centre of the Irminger Gyre, characterized by particular deep winter mixed layer depth. The mixed layer deepening is promoted through the combination of the cyclonic circulation of the Irminger gyre and strong surface buoyancy forcing in winter. Focus of the interdisciplinary research is on the biogeochemical cycling in a potential deep water formtion area. The physical background field (Temperature, Salinity, Currents) of the upper 1500m is surveyed with a number of sensors. Moreover, biogeochemical sensors (O2, Chl-a, zooplankton) is measured in mixed layer. The site area is shared with the LOCO mooring established by the NIOZ in 2002. The sampling and logistics of the moorings is coordinated with the NACLIM project. In Septmber 2014 the US OOI initiative will erect in the area the global node â€œIrminger Seaâ€�.",High level inventory Pivot Viewer,Platform,data acquisition,Conceptual,Ocean Science,Fixed-point Open Ocean Observatories,,,,,,,,,,Central Irminger Sea Mooring (FIXO3 CIS),globe.jpg,http://www.geomar.de/en
Central Web Service Registry,Hydrology information System (HIS),http://hiscentral.cuahsi.org/webservices/hiscentral.asmx?WSDL,"Links to a catalog of services (XML). The CUAHSI-HIS uses a family of web services, called WaterOneFlow, that 
have been developed as a standard mechanism for the TRANSFER of 
hydrologic data between hydrologic data servers (databases) and users 
computers. Web services streamline the often time consuming tasks of 
extracting data from a data source, transforming it into a usable format
 and loading it in to an analysis environment.  Web services format the 
data as XML and the specific variety of XML that is generated by the 
WaterOneFlow web services is known as CUAHSI WaterML. The specifics of 
WaterML are documented in the OGC� Discussion Paper, CUAHSI WaterML (http://portal.opengeospatial.org/files/?artifact_id=21743). (http://his.cuahsi.org/wofws.html)",NotDocumented,Catalog,Data access,AdHoc,Hydrology,CUAHSI,,,,,,,,,,Central Web Service Registry,icon_catalog.jpg,http://hiscentral.cuahsi.org/webservices/hiscentral.asmx?WSDL
CEOS International Directory Network,,http://www.ceos.org/index.php?option=com_content&view=category&layout=blog&id=148&Itemid=213,"a Gateway to the world of Earth Science data and services. The CEOS IDN is an international effort developed to assist researchers in locating information on available datasets and services. The directory is sponsored as a service to the Earth science community. To view the full content of the CEOS IDN Master Directory's data sets and/or data services, please visit the CEOS portal. Subsets of the directory content that focus on specific projects or contributing organizations can be viewed below under the topic, ""IDN Portals"".",NotDocumented,Organization,Data access,Operational,Earth Surface,Digital Curation Center,,,,,,,,,,CEOS International Directory Network,comunity.jpg,http://www.ceos.org/index.php?option=com_content&view=category&layout=blog&id=148&Itemid=213
CERIF,,http://www.eurocris.org/Index.php?page=CERIFintroduction&t=1 | http://www.eurocris.org/Uploads/Web%20pages/CERIF-1.6/documentation/MInfo.html,"A standard intended as a data exchange format, based on records describing projects, with persons and organisational units as attributes. Its essential features are: (a) it has the concept of objects or entities with attributes such as project, person, organisational unit; (b) it supports n:m relationships between them (and recursively on any of them) using 'linking relations' thus providing rich semantics including roles and time; (c) it is fully internationalised in language and character set; (d) it is extensible without prejudicing the core datamodel thus providing guaranteed interoperability at least at the core level but not precluding even richer intercommunication. It is designed for use both for data exchange (data file transfer) and for heterogeneous distributed query / result environments. 2006-- introduced a Semantic Layer that makes the model flexible and scalable for application in very heterogeneous environments. Current versionis CERIF 1.6 (2013).",High level inventory Pivot Viewer,Information Model,data acquisition,Published Standard,Science,European Current Research Information Systems,,,,,,,,,,CERIF ,informationModel.jpg,http://www.eurocris.org/Index.php?page=CERIFintroduction&t=1 | http://www.eurocris.org/Uploads/Web%20pages/CERIF-1.6/documentation/MInfo.html
CF Compliance Checker,,http://cfconventions.org/compliance-checker.html,This utility checks that a netCDF file which you supply complies with the CF comformance requirements and recommendations. Look here for a list of checks that still need to be implemented and any other suggestions for improvements that have been received.,High level inventory Pivot Viewer,Component,validation,Unknown,Climate,CF Metadata,,,,,,,,,,CF Compliance Checker,globe.jpg,http://cfconventions.org/compliance-checker.html
CFChecker,Desktop cross platform,http://pypi.python.org/pypi/cfchecker/2.0.2,"The 'cfchecks.py' script checks that the contents of a NetCDF file comply with the Climate and Forecasts (CF) Metadata Convention. The CF-checker was developed at the Hadley Centre for Climate Prediction and Research, UK Met Office by Rosalyn Hatcher. This work was supported by PRISM (PRogramme for Integrated Earth System Modelling). Development and maintenance for the CF-checker has now been taken over by the NCAS Computational Modelling Services (NCAS-CMS). If you have suggestions for improvement then please e-mail Rosalyn Hatcher at NCAS-CMS (r.s.hatcher@reading.ac.uk).",Original CIComponent Compilation,Component,validation,Operational,Climate,NCAS Computational Modelling Services (NCAS-CMS) / University of Reading,,,,,,,,,,CFChecker,globe.jpg,http://pypi.python.org/pypi/cfchecker/2.0.2
CGI vocabularies,IUGS CGI,http://def.seegrid.csiro.au/sissvoc/cgi201211/collection,Collection of vocabularies for populating geoscience data interchange documents,Original CIComponent Compilation,Vocabulary,information exchange,Operational,,,,,,,,,,,,CGI vocabularies,vocabulary.jpg,
Chef/Chef solo,Ocean Observatory Initiative (OOI),http://wiki.opscode.com/display/chef/Home,"Chef is a configuration management system that allows VM and server management by ""writing code, not running commands."" It is based around the concept of small, reuseable, ""recipes"" that make changes on a system.",Original CIComponent Compilation,Application,virtual machine deployment,Operational,Global,Opscode,,,,,,,,,,Chef/Chef solo,globe.jpg,http://wiki.opscode.com/display/chef/Home
Chemical Entities of Biological Interest (ChEBI),,http://www.ebi.ac.uk/chebi/,Chemical Entities of Biological Interest (ChEBI) is a freely available dictionary of molecular entities focused on chemical compounds.,NotDocumented,Vocabulary,information exchange,Community-Established,Biology,European Bioinformatics Institute,,,,,,,,,,Chemical Entities of Biological Interest (ChEBI),vocabulary.jpg,http://www.ebi.ac.uk/chebi/
ChloroGIN,,http://www.chlorogin.org/world/,"ChloroGIN is an international network to assess the state of marine, coastal and inland-water ecosystems for the benefit of society; promoting for that purpose in-water observations in synergy with ocean-colour and related satellite observations.",NotDocumented,System,,Community-Established,BiologicalSpeciesEcology,ChloroGIN,,,,,,,,,,ChloroGIN,globe.jpg,http://www.chlorogin.org/world/
Chronopolis,,http://libraries.ucsd.edu/chronopolis/,"Spanning academic institutions and disciplines, the Chronopolis digital preservation network provides services for the long-term preservation and curation of America's digital holdings. Because of the ephemeral nature of digital information, it is critical to organize and preserve the digital assets that represent society's intellectual capital the core seeds of knowledge that are the basis of future research and education",Original CIComponent Compilation,Repository,data management,Operational,Generic,,,,,,,,,,,Chronopolis ,database.jpg,http://libraries.ucsd.edu/chronopolis/
CILogon,,http://www.cilogon.org/,"CILogon facilitates secure access to Cyberinfrastructure (CI) via an operational service (under development) that issues digital credentials to the NSF research community and via the community-driven development and support of the MyProxy, GridShib, and GSI-OpenSSH software.",Original CIComponent Compilation,Web application framework,authentication,Operational,Generic,,,,,,,,,,,CILogon,globe.jpg,
CINERGI integrated search interface,CINERGI,http://hydro10.sdsc.edu,front-end web client for cross-domain search,Original CIComponent Compilation,Web site,Discovery,Operational,Generic,CINERGI,,web page,"JSON, XML?",,,,ISO19115,Custom client over Geoportal/SOLR,,CINERGI integrated search interface,globe.jpg,hydro10.sdsc.edu
CINERGI metadata harvester,CINERGI,,Component that collects resource descriptions,Original CIComponent Compilation,Component,harvest,In Development,Generic,CINERGI Project,,CSW| OAI-PMH| WAF, XML| CSV| JSON,,,,agnostic,Geoportal,,CINERGI metadata harvester,globe.jpg,
CINERGI metadata loader,CINERGI,,Component for mapping/tranforming from raw harvested resource descriptions to standardized 'federation' scheme in a staging database,Original CIComponent Compilation,Component,metadata acquisition,In Development,Generic,CINERGI Project,,HTTP API,"JSON, ",,,,ISO19115 output; input -- custom adapter for different sources,"python, javaâ€¦",,CINERGI metadata loader,globe.jpg,
CKAN,World Wide Web (WWW),http://ckan.org/,"CKAN is a data management system that makes data accessible â€“ by providing tools to streamline publishing, sharing, finding and using data. CKAN is aimed at data publishers (national and regional governments, companies and organizations) wanting to make their data open and available - See more at: http://ckan.org/#sthash.DoCk35Jq.dpuf",Original CIComponent Compilation,Server application,Discovery,Operational,Generic,,,HTTP API,,,,,,Java,,CKAN,globe.jpg,http://ckan.org/
CLEAN Climate and Energy Vocabularies,,http://cleanet.org/clean/about/climate_energy_.html,"Climate Literacy and Energy Awareness Network. a set of terms that define climate science, climate change, and energy awareness. The idea of these terms, or ""vocabularies"" is to allow users to easily search the collection of activities to hone in on their specific areas of interest. Each teaching resource is tagged with the appropriate vocabularies so that the collection can be browsed across various subject areas. The vocabularies have 7 top-level terms which are defined by sub-level terms, 43 secondary and 40 tertiary level terms. In some cases additional explanation about the meaning of the vocabularies is provided in a ""mouse-over"" function and is displayed below in parenthesis.",Original CIComponent Compilation,Vocabulary,information exchange,Operational,,"National Science Digital Library (NSDL) Pathways project;  NOAA, NSF, DOE",,web page,,,,,,,,CLEAN Climate and Energy Vocabularies,vocabulary.jpg,http://cleanet.org/clean/about/climate_energy_.html
Client-server interface components,GEOSS,,machine to machine interaction,Original CIComponent Compilation,Component,information exchange,Unknown,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Client-server interface components,globe.jpg,OGC AIP-7 Architecture report
Climate and Forecast (CF) Conventions and Metadata,,http://cfconventions.org/,"The conventions for CF (Climate and Forecast) metadata are designed to promote the processing and sharing of files created with the NetCDF API. The CF conventions are increasingly gaining acceptance and have been adopted by a number of projects and groups as a primary standard. The conventions define metadata that provide a definitive description of what the data in each variable represents, and the spatial and temporal properties of the data. This enables users of data from different sources to decide which quantities are comparable, and facilitates building applications with powerful extraction, regridding, and display capabilities. The CF conventions generalize and extend the COARDS conventions.",High level inventory Pivot Viewer,Specification,information exchange,Published Standard,Climate,CF Metadata,,,,,,,,,,Climate and Forecast (CF) Conventions and Metadata,globe.jpg,http://cfconventions.org/
Climate and Forecast (CF) standard names parameter vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/cf/parameter,"This is an ontology representation for the Climate and Forecast (CF) standard names parameter vocabulary, which is intended for use with climate and forecast data in the atmosphere, surface and ocean domains. The registered version at the ORR captures every CF parameter as a SKOS concept. This version of the ontology corresponds to version number 28 of the original vocabulary",High level inventory Pivot Viewer,Vocabulary,information exchange,Published Standard,Climate,Marine Metadata Initative,,,,,,,,,,Climate and Forecast (CF) standard names parameter vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/cf/parameter
Climate Data Assimilation System Reanalysis Data,,http://www.cpc.ncep.noaa.gov/products/wesley/reanalysis.html#data,"new atmospheric analyses using historical data (1948 onwards) and as well to produce analyses of the current atmospheric state (Climate Data Assimilation System, CDAS). Web site with link to model run result datasets",High level inventory Pivot Viewer,Dataset,,Not Evaluated,Climate,NOAA,,,,,,,,,,Climate Data Assimilation System Reanalysis Data,package-x-generic.png,http://www.cpc.ncep.noaa.gov/products/wesley/reanalysis.html#data
Climate Data Guide,,https://climatedataguide.ucar.edu/,"Search and access 170 data sets covering the Atmosphere, Ocean, Land and more. Explore climate indices, reanalyses and satellite data and understand their application to climate model metrics. This is the only data portal that combines data discovery, metadata, figures and world-class expertise on the strengths, limitations and applications of climate data. Discover it now.",Original CIComponent Compilation,Catalog,Discovery,Operational,Climate,National Center for Atmospheric Research (NCAR),,web page,,,,,,,,Climate Data Guide,icon_catalog.jpg,https://climatedataguide.ucar.edu/
Climate Data Online NOAA National Climate Data Center,,http://www.ncdc.noaa.gov/cdo-web/,Climate Data Online NOAA National Climate Data Center. Climate Data Online is a collection of climatic data that offers public access and consumption via discovery and ordering services. The data available through CDO is available at no charge and can be viewed online or ordered and delivered to your email inbox.,High level inventory Pivot Viewer,Repository,data storage,Community-Established,Climate,NOAA,,,,,,,,,,Climate Data Online NOAA National Climate Data Center,database.jpg,http://www.ncdc.noaa.gov/cdo-web/
Climate Science Modeling Language (CSML),,http://csml.badc.rl.ac.uk/,"Climate Science Modelling Language v3.0 is a data model for encoding climate, atmospheric and oceanographic data in terms of geometry-based observation classes such as Points, Profiles, Trajectories and Grids. It is a specialist profile of ISO 19156 Observations and Measurements and there is an accompanying implementation as a GML 3.2.1 Application Schema. Earlier versions of CSML were developed as part of the NERC DataGrid (NDG) projects funded by the Natural Environment Reseach Council. CSML development is currently supported by the British Atmospheric Data Centre on a best efforts basis.",High level inventory Pivot Viewer,Interchange Format,information exchange,Community-Established,Climate,NOAA,,,,,,,,,,Climate Science Modeling Language (CSML),globe.jpg,http://csml.badc.rl.ac.uk/
Cloud Is Us Processing Vocabulary,,http://vocab.deri.ie/cloudisus,Defines terms used for distributed processing of datasets such as jobs and contributors.,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Cloud Is Us Processing Vocabulary,vocabulary.jpg,http://vocab.deri.ie/cloudisus
CMIP5 Metadata Questionnaire,,http://q.cmip5.ceda.ac.uk/,A service for submitting CMIP5 climate data to the Earth Science Grid in a form compliant with the Metafor Common Information Model (CIM). Metadata creation tool.,High level inventory Pivot Viewer,Web site,information exchange,Operational,Generic,Center for Environmental Data Archival,,,,,,,,,,CMIP5 Metadata Questionnaire,globe.jpg,http://q.cmip5.ceda.ac.uk/
CMOR - Climate Model Output Rewriter,,http://www2-pcmdi.llnl.gov/cmor,"A set of C-based functions, with bindings to both Python and FORTRAN 90, that can be used to produce CF-compliant netCDF files.",High level inventory Pivot Viewer,Software library,information exchange,Operational,Climate,Digital Curation Center,,,,,,,,,,CMOR - Climate Model Output Rewriter,globe.jpg,http://www2-pcmdi.llnl.gov/cmor
Coastal Data Information Program (CDIP) Term Vocabulary,,http://cdip.ucsd.edu/?sub=faq&nav=documents&xitem=glossary,Glossary of terms related to coastal science. The following definitions are based on entries from the USACE's comprehensive Glossary of Coastal Terminology (Source: CDIP),NotDocumented,Vocabulary,information exchange,Published Standard,Ocean Science,Coastal Data Information Program,,,,,,,,,,Coastal Data Information Program (CDIP) Term Vocabulary,vocabulary.jpg,http://cdip.ucsd.edu/?sub=faq&nav=documents&xitem=glossary
Coastal Erosion Topics,,http://mmisw.org/orr/#http://www.coastalatlas.net/ont/coastal_erosion.owl,Top ontology for coastal erosion related topics. Replaces http://marinemetadata.org/mmiws/ont/20070912/coastal_erosion.owl,NotDocumented,Vocabulary,information exchange,Community-Established,Ocean Science,International Coastal Atlas Network,,,,,,,,,,Coastal Erosion Topics,vocabulary.jpg,http://mmisw.org/orr/#http://www.coastalatlas.net/ont/coastal_erosion.owl
Coastal Marine Ecological Classification Standard: A Habitat Classification Framework,,http://mmisw.org/orr/#http://mmisw.org/ont/noaa/cmecs,"The classification is a framework for organizing knowledge about coasts and oceans and their living systems. It provides a structure for synthesizing data so that habitats can be characterized and reported in a standard way, and information can be aggregated and evaluated across the national landscape and seascape. Building on existing classification efforts and informed by a series of technical meetings and workshops, the CMECS framework integrates the current state of knowledge about ecological and habitat classification. The result is an ecosystem-oriented, science-based framework for the identification, inventory, and description of coastal and marine habitats and biodiversity.",NotDocumented,Specification,information exchange,Published Standard,Ocean Science,NOAA,,,,,,,,,,Coastal Marine Ecological Classification Standard: A Habitat Classification Framework,globe.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/noaa/cmecs
COGS Vocabulary,,http://vocab.deri.ie/cogs,COGS: Vocabulary for describing ETL and data transformation activities.,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,COGS Vocabulary,vocabulary.jpg,http://vocab.deri.ie/cogs
Comfort and Energy Rule,,http://vocab.deri.ie/cer,(enhance)Comfort and Energy Rule,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,rdf,,,,,,,Comfort and Energy Rule,vocabulary.jpg,http://vocab.deri.ie/cer
Common Data Model (CDM),Unidata,http://www.unidata.ucar.edu/software/thredds/current/netcdf-java/CDM/,"Unidata Common Data Model (CDM) is an abstract, object-oriented data model for scientific datasets. It merges the netCDF, OPeNDAP, and HDF5 data models to create a common API for many types of scientific data. The NetCDF Java library is an implementation of the CDM which can read file formats that can be accessed through the CDM data model. The model defines a collection of objects with attributes and operations for representing and operating on datasets. The operations define an API for accessing data. The Common Data Model has three layers, which build on top of each other to add successively richer semantics: ---The data access layer, also know as the syntactic layer, handles data reading and writing. Objects include Dataset, Group, Dimension, Attribute, Variable, Structure, Sequence, Array, ArrayStructure, StructureData, Datatype, EnumTypedef; ---The coordinate system layer identifies the coordinates of the data arrays. Coordinates are a completely general concept for scientific data; the model includes specialized georeferencing coordinate systems. Objects include Variable, CoordinateSystem, CoordinateTransformation, ProjectionCT, VerticalCT, CoordinateAxis, and AxisType. ---The scientific feature type layer identifies specific types of data, such as grids, radial, and point data, adding specialized methods for each kind of data.",Original CIComponent Compilation,Information Model,Data access,Operational,,,,CDM API,,,,,,,,Common Data Model (CDM),informationModel.jpg,
Comms Controller,Ocean observatory initiative (OOI),,Communication control component in original OOI architecture design.,Original CIComponent Compilation,Component,hardware controller,Conceptual,,,,,,,,,,planned?,,Comms Controller,globe.jpg,
community catalog,GEOSS,,Collection of community-organized information descriptions (metadata) exposed through standard catalog service interfaces,Original CIComponent Compilation,Catalog,Discovery,Conceptual,,GEOSS,OGC AIP-7 Architecture report,CSW | ISO 23950,,,,,,,,community catalog,icon_catalog.jpg,OGC AIP-7 Architecture report
Community Resource Viewer,CINERGI,http://connections.earthcube.org,"front-end application for domain-specific resource catalog, to support browsing, faceted search, inventory curation and updates",Original CIComponent Compilation,Component,Discovery,Operational,,CINERGI,,web page,"JSON, oData",,,,"domain-specific, subset of ISO19115","PivotViewer custom client, ASP.NET, HTML5/OpenLink",,Community Resource Viewer,globe.jpg,connections.earthcube.org
Components Register,GEOSS,http://seabass.ieee.org/groups/geoss/,list of components registered into GEOSS,Original CIComponent Compilation,Register,Discovery,Operational,,GEOSS,"OGC AIP-7 Architecture report, figure 4",,,,,,,,,Components Register,globe.jpg,
Components required to exchange and disseminate observational data and information,GEOSS,,"Top level abstract component. data management, access to data, and archiving of data and other resources.",Original CIComponent Compilation,Component,data management,Conceptual,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Components required to exchange and disseminate observational data and information,globe.jpg,OGC AIP-7 Architecture report
Components to acquire observations,GEOSS,,"Top level abstract component. local, national, regional and global systems to be augmented as required by new observing systems",Original CIComponent Compilation,Component,data acquisition,Conceptual,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Components to acquire observations,globe.jpg,OGC AIP-7 Architecture report
Components to process data into useful information,GEOSS,,"Top level abstract component. Implement modeling, integration and assimilation techniques as input to the decision support systems required in response to societal needs",Original CIComponent Compilation,Component,data processing,Conceptual,,GEOSS,OGC AIP-7 Architecture report,,,,,,,,,Components to process data into useful information,globe.jpg,OGC AIP-7 Architecture report
COMPS Currents and Waves Process Chain,,http://mmisw.org/orr/#http://mmisw.org/ont/comps/COMPSPC,Description of COMPS Currents and Waves process chain,High level inventory Pivot Viewer,Vocabulary,information exchange,Published Standard,Ocean Science,Coastal Ocean monitoring and Prediction System,,,,,,,,,,COMPS Currents and Waves Process Chain,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/comps/COMPSPC
COMPS Currents and Waves Properties,,http://mmisw.org/orr/#http://mmisw.org/ont/COMPS/properties,Describes the COMPS Waves and Currents properties,High level inventory Pivot Viewer,Vocabulary,information exchange,Published Standard,Ocean Science,Coastal Ocean monitoring and Prediction System,,,,,,,,,,COMPS Currents and Waves Properties,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/COMPS/properties
COMPS Quality Flags Vocabulary,,http://mmisw.org/orr/#http://mmisw.org/ont/comps/flag,QC Flags Description,High level inventory Pivot Viewer,Vocabulary,information exchange,Published Standard,Ocean Science,Coastal Ocean monitoring and Prediction System,,,,,,,,,,COMPS Quality Flags Vocabulary,vocabulary.jpg,http://mmisw.org/orr/#http://mmisw.org/ont/comps/flag
Continental Stratigraphy,Macrostrat,http://macrostrat.org/projects.php,"polygons with vertical sequence of layers; Dataset of polygons tessellating North America, with associated time-stratigraphy description.",Original CIComponent Compilation,Dataset,information source,Operational,,Shanan Peters,,,,,,,,,,Continental Stratigraphy,package-x-generic.png,
Convention on Biological Diversity (CBD) Controlled Vocabulary,,http://www.cbd.int/doc/lists/cbd-voc.pdf,The Convention on Biological Diversity Controlled Vocabulary in pdf format,NotDocumented,Vocabulary,information exchange,None,BiologicalSpeciesEcology,"Convention on Biological Diversity (CBD) (UN, UNEP)",,,,,,,,,,Convention on Biological Diversity (CBD) Controlled Vocabulary,vocabulary.jpg,http://www.cbd.int/doc/lists/cbd-voc.pdf
Coordinated Enhanced Observing Period (CEOP),International Directory Network (IDN),http://gcmd.gsfc.nasa.gov/KeywordSearch/Home.do?Portal=ceop,Portal for Global Change Master Directory,Original CIComponent Compilation,Catalog,Discovery,Operational,,NASA CEOS,,,,,,,,,,Coordinated Enhanced Observing Period (CEOP),icon_catalog.jpg,http://gcmd.gsfc.nasa.gov/KeywordSearch/Home.do?Portal=ceop
CORE Link Format,,http://vocab.deri.ie/corelf,QC Flags Description,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,CORE Link Format,vocabulary.jpg,http://vocab.deri.ie/corelf
CoreSIG Modules,,https://joinup.ec.europa.eu/software/coresig/home,Bundle of gvSIG Desktop extensions for the management of corporative databases,High level inventory Pivot Viewer,Software library,JU,Unknown,Data Systems,Join Up -- European Union Interoperability Solutions for Public Administrations (ISA) Programme.,,,,,,,,,,CoreSIG Modules,software.png,https://joinup.ec.europa.eu/software/coresig/home
COSMOS Virtual Data Center,,http://www.strongmotioncenter.org/vdc/,"Strong Motion Virtual Data Center (VDC) is a public, web-based search engine for accessing worldwide 
earthquake strong ground motion data.  While the primary focus of the 
VDC is on data of engineering interest, it is also an interactive 
resource for scientific research and government and emergency response 
professionals. The VDC was deveLoped at University of California Santa Barbara with 
funds from the National Science Foundation, with initial support 
provided by the Southern California Earthquake Center. Subsequent 
support has been provided by the US Geological Survey and the California
 Geological Survey. The VDC was incorporated as a part of the Center for Engineering Strong Motion Data (CESMD) in 2012.  The Consortium of Organizations for Strong-Motion Observation Systems 
(COSMOS) serves as a liaison in facilitating data access from 
international strong-motion networks. (http://strongmotioncenter.org/vdc/scripts/about.plx)",NotDocumented,Catalog,,AdHoc,Seismology,COSMOS,,,,,,,,,,COSMOS Virtual Data Center,icon_catalog.jpg,http://www.strongmotioncenter.org/vdc/
COSMOS Virtual Data Center Stations Google Earth File,,http://www.strongmotioncenter.org/vdc/scripts/googleEarthKML.plx,"Google Earth file that will show the geographic location of events and stations known by the VDC. Will load all of the stations and events on the VDC into GoogleEarth. GoogleEarth will display red circles for events and yellow circles for stations. If you click on one of the circles, it will display the name, date, magnitude and no. of stations available for that earthquake; or name, code, and station owner for that station, respectively. Clicking on the name will take you to the VDC page for that earthquake or station.",High level inventory Pivot Viewer,Dataset,,Not Evaluated,Seismology,COSMOS,,,,,,,,,,COSMOS Virtual Data Center Stations Google Earth File,package-x-generic.png,http://www.strongmotioncenter.org/vdc/scripts/googleEarthKML.plx
CouchDB/BigCouch,Ocean Observatory Initiative (OOI),http://bigcouch.cloudant.com/,Apache CouchDB is a document-oriented database that can be queried and indexed in a MapReduce fashion using JavaScript. CouchDB also offers incremental replication with bi-directional conflict detection and resolution.,Original CIComponent Compilation,Application,data management,Operational,,,,,,,,,,,,CouchDB/BigCouch,database.jpg,
Country Vocabulary,,http://www.rvdata.us/voc/country,R2R IDs and names of many countries.,NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Country Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/country
Credentials Ontology,,http://vocab.deri.ie/co,The Credentials Vocabulary (CO) is a light weight vocabulary for Semantic OAuth to describe three types of credentials: 1) temporary or request token credentials; 2) client credentials; and 3) access token credentials.,NotDocumented,Vocabulary,information exchange,Unknown,Data Systems,Digital Enterprise Research Institute,,,,,,,,,,Credentials Ontology,vocabulary.jpg,http://vocab.deri.ie/co
Cruise Summary Reports,,http://www.seadatanet.org/Metadata/CSR,"Web site for searching and accessing Cruise Summary Reports (CSR = former ROSCOPs), the usual means for reporting on cruises or field experiments at sea. Traditionally, it is the Chief Scientist's obligation to submit a CSR to his/her National Oceanographic Data Centre (NODC) not later than two weeks after the cruise. This provides a first level inventory of measurements and samples collected at sea. Currently, the Cruise Summary Reports directory covers cruises from 1873 till today from more than 2.000 research vessels: a total of nearly 53.000 cruises, in all European waters and global oceans. This also includes historic CSRs from European countries, that have been loaded from the ICES database from 1960 onwards.",High level inventory Pivot Viewer,Web site,Data access,Conceptual,Ocean Science,Digital Curation Centre,,,,,,,,,,Cruise Summary Reports,globe.jpg,http://www.seadatanet.org/Metadata/CSR
Cruise Type Vocabulary,,http://www.rvdata.us/voc/cruisetype,Terms to describe type of excursions that vessels can be out on.,NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Cruise Type Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/cruisetype
Cruise Vocabulary,,http://www.rvdata.us/voc/cruise,Vocabulary for the cruises that R2R vessels make.,NotDocumented,Vocabulary,information exchange,Unknown,Ocean Science,Rolling Deck to Repository (R2R),,,,,,,,,,Cruise Vocabulary,vocabulary.jpg,http://www.rvdata.us/voc/cruise
